time,density,nonezero,
200,0.4,0.345,
1,0.5,0.475,
2,0.5,0.465,
3,0.5,0.47,
4,0.5,0.48,
5,0.5,0.49,
6,0.5,0.545,
7,0.5,0.505,
8,0.5,0.46,
9,0.5,0.515,
10,0.5,0.425,
11,0.5,0.53,
12,0.5,0.47,
13,0.5,0.535,
14,0.5,0.505,
15,0.5,0.505,
16,0.5,0.505,
17,0.5,0.51,
18,0.5,0.5,
19,0.5,0.52,
20,0.5,0.535,
21,0.5,0.49,
22,0.5,0.535,
23,0.5,0.485,
24,0.5,0.5,
25,0.5,0.485,
26,0.5,0.485,
27,0.5,0.51,
28,0.5,0.5,
29,0.5,0.535,
30,0.5,0.485,
31,0.5,0.52,
32,0.5,0.555,
33,0.5,0.47,
34,0.5,0.52,
35,0.5,0.56,
36,0.5,0.505,
37,0.5,0.505,
38,0.5,0.53,
39,0.5,0.465,
40,0.5,0.54,
41,0.5,0.515,
42,0.5,0.545,
43,0.5,0.505,
44,0.5,0.525,
45,0.5,0.495,
46,0.5,0.535,
47,0.5,0.51,
48,0.5,0.52,
49,0.5,0.575,
50,0.5,0.47,
51,0.5,0.55,
52,0.5,0.515,
53,0.5,0.51,
54,0.5,0.51,
55,0.5,0.54,
56,0.5,0.54,
57,0.5,0.42,
58,0.5,0.525,
59,0.5,0.42,
60,0.5,0.47,
61,0.5,0.495,
62,0.5,0.46,
63,0.5,0.485,
64,0.5,0.48,
65,0.5,0.48,
66,0.5,0.485,
67,0.5,0.48,
68,0.5,0.48,
69,0.5,0.48,
70,0.5,0.49,
71,0.5,0.485,
72,0.5,0.525,
73,0.5,0.455,
74,0.5,0.5,
75,0.5,0.485,
76,0.5,0.48,
77,0.5,0.535,
78,0.5,0.54,
79,0.5,0.495,
80,0.5,0.475,
81,0.5,0.515,
82,0.5,0.455,
83,0.5,0.485,
84,0.5,0.505,
85,0.5,0.53,
86,0.5,0.5,
87,0.5,0.56,
88,0.5,0.505,
89,0.5,0.54,
90,0.5,0.49,
91,0.5,0.525,
92,0.5,0.455,
93,0.5,0.52,
94,0.5,0.495,
95,0.5,0.48,
96,0.5,0.44,
97,0.5,0.46,
98,0.5,0.475,
99,0.5,0.51,
100,0.5,0.51,
101,0.5,0.53,
102,0.5,0.515,
103,0.5,0.49,
104,0.5,0.51,
105,0.5,0.465,
106,0.5,0.47,
107,0.5,0.53,
108,0.5,0.525,
109,0.5,0.51,
110,0.5,0.52,
111,0.5,0.485,
112,0.5,0.52,
113,0.5,0.485,
114,0.5,0.515,
115,0.5,0.455,
116,0.5,0.44,
117,0.5,0.515,
118,0.5,0.555,
119,0.5,0.515,
120,0.5,0.475,
121,0.5,0.49,
122,0.5,0.485,
123,0.5,0.46,
124,0.5,0.53,
125,0.5,0.51,
126,0.5,0.51,
127,0.5,0.52,
128,0.5,0.505,
129,0.5,0.55,
130,0.5,0.48,
131,0.5,0.46,
132,0.5,0.495,
133,0.5,0.51,
134,0.5,0.45,
135,0.5,0.485,
136,0.5,0.405,
137,0.5,0.51,
138,0.5,0.515,
139,0.5,0.6,
140,0.5,0.45,
141,0.5,0.445,
142,0.5,0.485,
143,0.5,0.505,
144,0.5,0.55,
145,0.5,0.495,
146,0.5,0.505,
147,0.5,0.53,
148,0.5,0.57,
149,0.5,0.515,
150,0.5,0.5,
151,0.5,0.435,
152,0.5,0.525,
153,0.5,0.45,
154,0.5,0.55,
155,0.5,0.465,
156,0.5,0.535,
157,0.5,0.485,
158,0.5,0.46,
159,0.5,0.52,
160,0.5,0.55,
161,0.5,0.48,
162,0.5,0.5,
163,0.5,0.555,
164,0.5,0.48,
165,0.5,0.465,
166,0.5,0.49,
167,0.5,0.505,
168,0.5,0.57,
169,0.5,0.5,
170,0.5,0.505,
171,0.5,0.48,
172,0.5,0.425,
173,0.5,0.485,
174,0.5,0.49,
175,0.5,0.435,
176,0.5,0.51,
177,0.5,0.48,
178,0.5,0.46,
179,0.5,0.465,
180,0.5,0.485,
181,0.5,0.455,
182,0.5,0.5,
183,0.5,0.5,
184,0.5,0.46,
185,0.5,0.54,
186,0.5,0.485,
187,0.5,0.455,
188,0.5,0.535,
189,0.5,0.45,
190,0.5,0.5,
191,0.5,0.49,
192,0.5,0.56,
193,0.5,0.47,
194,0.5,0.505,
195,0.5,0.515,
196,0.5,0.495,
197,0.5,0.525,
198,0.5,0.545,
199,0.5,0.54,
200,0.5,0.515,
1,0.6,0.55,
2,0.6,0.6,
3,0.6,0.63,
4,0.6,0.6,
5,0.6,0.58,
6,0.6,0.61,
7,0.6,0.67,
8,0.6,0.65,
9,0.6,0.69,
10,0.6,0.54,
11,0.6,0.61,
12,0.6,0.605,
13,0.6,0.61,
14,0.6,0.595,
15,0.6,0.58,
16,0.6,0.65,
17,0.6,0.61,
18,0.6,0.605,
19,0.6,0.645,
20,0.6,0.61,
21,0.6,0.6,
22,0.6,0.575,
23,0.6,0.62,
24,0.6,0.59,
25,0.6,0.65,
26,0.6,0.62,
27,0.6,0.605,
28,0.6,0.655,
29,0.6,0.64,
30,0.6,0.595,
31,0.6,0.64,
32,0.6,0.595,
33,0.6,0.59,
34,0.6,0.58,
35,0.6,0.585,
36,0.6,0.595,
37,0.6,0.575,
38,0.6,0.56,
39,0.6,0.58,
40,0.6,0.63,
41,0.6,0.585,
42,0.6,0.535,
43,0.6,0.565,
44,0.6,0.585,
45,0.6,0.66,
46,0.6,0.615,
47,0.6,0.6,
48,0.6,0.565,
49,0.6,0.655,
50,0.6,0.625,
51,0.6,0.59,
52,0.6,0.605,
53,0.6,0.605,
54,0.6,0.565,
55,0.6,0.565,
56,0.6,0.625,
57,0.6,0.595,
58,0.6,0.6,
59,0.6,0.6,
60,0.6,0.615,
61,0.6,0.65,
62,0.6,0.675,
63,0.6,0.625,
64,0.6,0.555,
65,0.6,0.56,
66,0.6,0.62,
67,0.6,0.585,
68,0.6,0.64,
69,0.6,0.575,
70,0.6,0.64,
71,0.6,0.605,
72,0.6,0.545,
73,0.6,0.625,
74,0.6,0.61,
75,0.6,0.545,
76,0.6,0.64,
77,0.6,0.605,
78,0.6,0.64,
79,0.6,0.645,
80,0.6,0.62,
81,0.6,0.55,
82,0.6,0.61,
83,0.6,0.635,
84,0.6,0.585,
85,0.6,0.57,
86,0.6,0.57,
87,0.6,0.58,
88,0.6,0.605,
89,0.6,0.585,
90,0.6,0.57,
91,0.6,0.625,
92,0.6,0.555,
93,0.6,0.61,
94,0.6,0.59,
95,0.6,0.645,
96,0.6,0.6,
97,0.6,0.58,
98,0.6,0.57,
99,0.6,0.595,
100,0.6,0.615,
101,0.6,0.54,
102,0.6,0.635,
103,0.6,0.58,
104,0.6,0.625,
105,0.6,0.59,
106,0.6,0.595,
107,0.6,0.56,
108,0.6,0.605,
109,0.6,0.56,
110,0.6,0.615,
111,0.6,0.63,
112,0.6,0.57,
113,0.6,0.615,
114,0.6,0.58,
115,0.6,0.675,
116,0.6,0.575,
117,0.6,0.615,
118,0.6,0.565,
119,0.6,0.605,
120,0.6,0.64,
121,0.6,0.57,
122,0.6,0.57,
123,0.6,0.595,
124,0.6,0.625,
125,0.6,0.625,
126,0.6,0.63,
127,0.6,0.605,
128,0.6,0.68,
129,0.6,0.59,
130,0.6,0.605,
131,0.6,0.63,
132,0.6,0.625,
133,0.6,0.62,
134,0.6,0.51,
135,0.6,0.645,
136,0.6,0.61,
137,0.6,0.575,
138,0.6,0.59,
139,0.6,0.6,
140,0.6,0.575,
141,0.6,0.56,
142,0.6,0.56,
143,0.6,0.62,
144,0.6,0.52,
145,0.6,0.645,
146,0.6,0.63,
147,0.6,0.62,
148,0.6,0.6,
149,0.6,0.6,
150,0.6,0.555,
151,0.6,0.585,
152,0.6,0.57,
153,0.6,0.575,
154,0.6,0.565,
155,0.6,0.6,
156,0.6,0.59,
157,0.6,0.575,
158,0.6,0.645,
159,0.6,0.645,
160,0.6,0.625,
161,0.6,0.66,
162,0.6,0.59,
163,0.6,0.625,
164,0.6,0.62,
165,0.6,0.59,
166,0.6,0.585,
167,0.6,0.565,
168,0.6,0.62,
169,0.6,0.62,
170,0.6,0.585,
171,0.6,0.575,
172,0.6,0.575,
173,0.6,0.66,
174,0.6,0.6,
175,0.6,0.595,
176,0.6,0.535,
177,0.6,0.565,
178,0.6,0.61,
179,0.6,0.645,
180,0.6,0.655,
181,0.6,0.64,
182,0.6,0.575,
183,0.6,0.635,
184,0.6,0.56,
185,0.6,0.605,
186,0.6,0.63,
187,0.6,0.545,
188,0.6,0.575,
189,0.6,0.615,
190,0.6,0.625,
191,0.6,0.535,
192,0.6,0.585,
193,0.6,0.625,
194,0.6,0.615,
195,0.6,0.635,
196,0.6,0.595,
197,0.6,0.575,
198,0.6,0.61,
199,0.6,0.62,
200,0.6,0.635,
1,0.7,0.71,
2,0.7,0.73,
3,0.7,0.7,
4,0.7,0.695,
5,0.7,0.73,
6,0.7,0.655,
7,0.7,0.705,
8,0.7,0.7,
9,0.7,0.72,
10,0.7,0.68,
11,0.7,0.705,
12,0.7,0.675,
13,0.7,0.715,
14,0.7,0.67,
15,0.7,0.67,
16,0.7,0.69,
17,0.7,0.645,
18,0.7,0.67,
19,0.7,0.735,
20,0.7,0.775,
21,0.7,0.695,
22,0.7,0.735,
23,0.7,0.715,
24,0.7,0.69,
25,0.7,0.715,
26,0.7,0.725,
27,0.7,0.7,
28,0.7,0.67,
29,0.7,0.725,
30,0.7,0.72,
31,0.7,0.72,
32,0.7,0.73,
33,0.7,0.765,
34,0.7,0.725,
35,0.7,0.765,
36,0.7,0.74,
37,0.7,0.705,
38,0.7,0.74,
39,0.7,0.69,
40,0.7,0.69,
41,0.7,0.705,
42,0.7,0.75,
43,0.7,0.68,
44,0.7,0.725,
45,0.7,0.745,
46,0.7,0.715,
47,0.7,0.685,
48,0.7,0.695,
49,0.7,0.77,
50,0.7,0.62,
51,0.7,0.715,
52,0.7,0.68,
53,0.7,0.715,
54,0.7,0.66,
55,0.7,0.695,
56,0.7,0.71,
57,0.7,0.66,
58,0.7,0.595,
59,0.7,0.67,
60,0.7,0.665,
61,0.7,0.685,
62,0.7,0.665,
63,0.7,0.695,
64,0.7,0.64,
65,0.7,0.715,
66,0.7,0.68,
67,0.7,0.7,
68,0.7,0.72,
69,0.7,0.645,
