time,density,nonezero,
191,0.3,0.34,
192,0.3,0.275,
193,0.3,0.355,
194,0.3,0.29,
195,0.3,0.3,
196,0.3,0.3,
197,0.3,0.295,
198,0.3,0.305,
199,0.3,0.315,
200,0.3,0.295,
201,0.3,0.295,
1,0.4,0.365,
2,0.4,0.375,
3,0.4,0.365,
4,0.4,0.48,
5,0.4,0.455,
6,0.4,0.385,
7,0.4,0.42,
8,0.4,0.48,
9,0.4,0.375,
10,0.4,0.39,
11,0.4,0.445,
12,0.4,0.395,
13,0.4,0.43,
14,0.4,0.44,
15,0.4,0.375,
16,0.4,0.415,
17,0.4,0.43,
18,0.4,0.415,
19,0.4,0.445,
20,0.4,0.43,
21,0.4,0.46,
22,0.4,0.39,
23,0.4,0.39,
24,0.4,0.355,
25,0.4,0.4,
26,0.4,0.395,
27,0.4,0.41,
28,0.4,0.41,
29,0.4,0.445,
30,0.4,0.42,
31,0.4,0.44,
32,0.4,0.39,
33,0.4,0.41,
34,0.4,0.465,
35,0.4,0.38,
36,0.4,0.405,
37,0.4,0.48,
38,0.4,0.3,
39,0.4,0.36,
40,0.4,0.45,
41,0.4,0.485,
42,0.4,0.42,
43,0.4,0.4,
44,0.4,0.37,
45,0.4,0.39,
46,0.4,0.43,
47,0.4,0.36,
48,0.4,0.375,
49,0.4,0.34,
50,0.4,0.44,
51,0.4,0.355,
52,0.4,0.43,
53,0.4,0.375,
54,0.4,0.375,
55,0.4,0.415,
56,0.4,0.4,
57,0.4,0.38,
58,0.4,0.395,
59,0.4,0.39,
60,0.4,0.37,
61,0.4,0.46,
62,0.4,0.36,
63,0.4,0.395,
64,0.4,0.42,
65,0.4,0.38,
66,0.4,0.375,
67,0.4,0.41,
68,0.4,0.365,
69,0.4,0.37,
70,0.4,0.42,
71,0.4,0.415,
72,0.4,0.41,
73,0.4,0.395,
74,0.4,0.415,
75,0.4,0.415,
76,0.4,0.41,
77,0.4,0.4,
78,0.4,0.4,
79,0.4,0.405,
80,0.4,0.375,
81,0.4,0.37,
82,0.4,0.47,
83,0.4,0.405,
84,0.4,0.37,
85,0.4,0.385,
86,0.4,0.4,
87,0.4,0.43,
88,0.4,0.38,
89,0.4,0.415,
90,0.4,0.4,
91,0.4,0.355,
92,0.4,0.39,
93,0.4,0.45,
94,0.4,0.37,
95,0.4,0.395,
96,0.4,0.385,
97,0.4,0.425,
98,0.4,0.34,
99,0.4,0.425,
100,0.4,0.425,
101,0.4,0.385,
102,0.4,0.43,
103,0.4,0.355,
104,0.4,0.39,
105,0.4,0.415,
106,0.4,0.4,
107,0.4,0.375,
108,0.4,0.43,
109,0.4,0.33,
110,0.4,0.405,
111,0.4,0.44,
112,0.4,0.4,
113,0.4,0.395,
114,0.4,0.44,
115,0.4,0.4,
116,0.4,0.37,
117,0.4,0.415,
118,0.4,0.445,
119,0.4,0.395,
120,0.4,0.34,
121,0.4,0.395,
122,0.4,0.365,
123,0.4,0.33,
124,0.4,0.42,
125,0.4,0.355,
126,0.4,0.43,
127,0.4,0.39,
128,0.4,0.375,
129,0.4,0.35,
130,0.4,0.42,
131,0.4,0.385,
132,0.4,0.415,
133,0.4,0.39,
134,0.4,0.4,
135,0.4,0.435,
136,0.4,0.4,
137,0.4,0.335,
138,0.4,0.38,
139,0.4,0.385,
140,0.4,0.405,
141,0.4,0.335,
142,0.4,0.37,
143,0.4,0.375,
144,0.4,0.38,
145,0.4,0.4,
146,0.4,0.41,
147,0.4,0.37,
148,0.4,0.39,
149,0.4,0.43,
150,0.4,0.33,
151,0.4,0.385,
152,0.4,0.375,
153,0.4,0.415,
154,0.4,0.44,
155,0.4,0.36,
156,0.4,0.39,
157,0.4,0.46,
158,0.4,0.38,
159,0.4,0.43,
160,0.4,0.385,
161,0.4,0.435,
162,0.4,0.445,
163,0.4,0.38,
164,0.4,0.46,
165,0.4,0.41,
166,0.4,0.38,
167,0.4,0.39,
168,0.4,0.345,
169,0.4,0.425,
170,0.4,0.435,
171,0.4,0.425,
172,0.4,0.41,
173,0.4,0.395,
174,0.4,0.44,
175,0.4,0.465,
176,0.4,0.425,
177,0.4,0.44,
178,0.4,0.435,
179,0.4,0.455,
180,0.4,0.44,
181,0.4,0.415,
182,0.4,0.38,
183,0.4,0.435,
184,0.4,0.38,
185,0.4,0.42,
186,0.4,0.435,
187,0.4,0.395,
188,0.4,0.36,
189,0.4,0.4,
190,0.4,0.405,
191,0.4,0.435,
192,0.4,0.355,
193,0.4,0.42,
194,0.4,0.385,
195,0.4,0.35,
196,0.4,0.43,
197,0.4,0.425,
198,0.4,0.395,
199,0.4,0.405,
200,0.4,0.355,
1,0.5,0.47,
2,0.5,0.515,
3,0.5,0.52,
4,0.5,0.425,
5,0.5,0.505,
6,0.5,0.525,
7,0.5,0.55,
8,0.5,0.495,
9,0.5,0.565,
10,0.5,0.505,
11,0.5,0.505,
12,0.5,0.475,
13,0.5,0.465,
14,0.5,0.505,
15,0.5,0.475,
16,0.5,0.575,
17,0.5,0.44,
18,0.5,0.51,
19,0.5,0.52,
20,0.5,0.515,
21,0.5,0.475,
22,0.5,0.51,
23,0.5,0.545,
24,0.5,0.535,
25,0.5,0.52,
26,0.5,0.52,
27,0.5,0.515,
28,0.5,0.43,
29,0.5,0.43,
30,0.5,0.565,
31,0.5,0.53,
32,0.5,0.49,
33,0.5,0.465,
34,0.5,0.51,
35,0.5,0.47,
36,0.5,0.515,
37,0.5,0.5,
38,0.5,0.49,
39,0.5,0.535,
40,0.5,0.425,
41,0.5,0.47,
42,0.5,0.48,
43,0.5,0.5,
44,0.5,0.44,
45,0.5,0.435,
46,0.5,0.46,
47,0.5,0.47,
48,0.5,0.54,
49,0.5,0.55,
50,0.5,0.505,
51,0.5,0.515,
52,0.5,0.54,
53,0.5,0.46,
54,0.5,0.51,
55,0.5,0.505,
56,0.5,0.525,
57,0.5,0.53,
58,0.5,0.445,
59,0.5,0.5,
60,0.5,0.495,
61,0.5,0.5,
62,0.5,0.48,
63,0.5,0.5,
64,0.5,0.555,
65,0.5,0.49,
66,0.5,0.555,
67,0.5,0.53,
68,0.5,0.44,
69,0.5,0.525,
70,0.5,0.52,
71,0.5,0.465,
72,0.5,0.51,
73,0.5,0.54,
74,0.5,0.495,
75,0.5,0.57,
76,0.5,0.52,
77,0.5,0.525,
78,0.5,0.51,
79,0.5,0.475,
80,0.5,0.48,
81,0.5,0.45,
82,0.5,0.52,
83,0.5,0.48,
84,0.5,0.45,
85,0.5,0.54,
86,0.5,0.49,
87,0.5,0.505,
88,0.5,0.485,
89,0.5,0.51,
90,0.5,0.56,
91,0.5,0.54,
92,0.5,0.5,
93,0.5,0.59,
94,0.5,0.525,
95,0.5,0.515,
96,0.5,0.53,
97,0.5,0.505,
98,0.5,0.475,
99,0.5,0.49,
100,0.5,0.485,
101,0.5,0.45,
102,0.5,0.445,
103,0.5,0.51,
104,0.5,0.535,
105,0.5,0.51,
106,0.5,0.535,
107,0.5,0.505,
108,0.5,0.455,
109,0.5,0.455,
110,0.5,0.53,
111,0.5,0.5,
112,0.5,0.44,
113,0.5,0.485,
114,0.5,0.47,
115,0.5,0.595,
116,0.5,0.475,
117,0.5,0.515,
118,0.5,0.425,
119,0.5,0.555,
120,0.5,0.49,
121,0.5,0.465,
122,0.5,0.54,
123,0.5,0.55,
124,0.5,0.495,
125,0.5,0.51,
126,0.5,0.535,
127,0.5,0.47,
128,0.5,0.475,
129,0.5,0.5,
130,0.5,0.56,
131,0.5,0.455,
132,0.5,0.515,
133,0.5,0.46,
134,0.5,0.51,
135,0.5,0.52,
136,0.5,0.385,
137,0.5,0.485,
138,0.5,0.54,
139,0.5,0.46,
140,0.5,0.52,
141,0.5,0.465,
142,0.5,0.455,
143,0.5,0.57,
144,0.5,0.46,
145,0.5,0.48,
146,0.5,0.465,
147,0.5,0.515,
148,0.5,0.44,
149,0.5,0.525,
150,0.5,0.53,
151,0.5,0.465,
152,0.5,0.49,
153,0.5,0.515,
154,0.5,0.405,
155,0.5,0.495,
156,0.5,0.48,
157,0.5,0.505,
158,0.5,0.525,
159,0.5,0.52,
160,0.5,0.465,
161,0.5,0.545,
162,0.5,0.465,
163,0.5,0.46,
164,0.5,0.525,
165,0.5,0.51,
166,0.5,0.455,
167,0.5,0.47,
168,0.5,0.585,
169,0.5,0.535,
170,0.5,0.48,
171,0.5,0.55,
172,0.5,0.525,
173,0.5,0.5,
174,0.5,0.505,
175,0.5,0.46,
176,0.5,0.5,
177,0.5,0.49,
178,0.5,0.56,
179,0.5,0.56,
180,0.5,0.525,
181,0.5,0.52,
182,0.5,0.52,
183,0.5,0.49,
184,0.5,0.5,
185,0.5,0.485,
186,0.5,0.52,
187,0.5,0.5,
188,0.5,0.605,
189,0.5,0.46,
190,0.5,0.5,
191,0.5,0.51,
192,0.5,0.555,
193,0.5,0.52,
194,0.5,0.5,
195,0.5,0.45,
196,0.5,0.5,
197,0.5,0.55,
198,0.5,0.515,
199,0.5,0.465,
200,0.5,0.48,
1,0.6,0.505,
2,0.6,0.61,
3,0.6,0.595,
4,0.6,0.595,
5,0.6,0.665,
6,0.6,0.66,
7,0.6,0.595,
8,0.6,0.565,
9,0.6,0.595,
10,0.6,0.575,
11,0.6,0.595,
12,0.6,0.665,
13,0.6,0.505,
14,0.6,0.595,
15,0.6,0.635,
16,0.6,0.61,
17,0.6,0.62,
18,0.6,0.58,
19,0.6,0.595,
20,0.6,0.65,
21,0.6,0.59,
22,0.6,0.61,
23,0.6,0.62,
24,0.6,0.63,
25,0.6,0.62,
26,0.6,0.605,
27,0.6,0.645,
28,0.6,0.56,
29,0.6,0.61,
30,0.6,0.61,
31,0.6,0.67,
32,0.6,0.61,
33,0.6,0.585,
34,0.6,0.6,
35,0.6,0.645,
36,0.6,0.635,
37,0.6,0.55,
38,0.6,0.59,
39,0.6,0.665,
40,0.6,0.67,
41,0.6,0.62,
42,0.6,0.55,
43,0.6,0.68,
44,0.6,0.585,
45,0.6,0.56,
46,0.6,0.61,
47,0.6,0.615,
48,0.6,0.59,
49,0.6,0.615,
50,0.6,0.585,
51,0.6,0.62,
52,0.6,0.62,
53,0.6,0.61,
54,0.6,0.595,
55,0.6,0.635,
56,0.6,0.555,
57,0.6,0.62,
58,0.6,0.68,
59,0.6,0.58,
60,0.6,0.57,
61,0.6,0.63,
62,0.6,0.565,
63,0.6,0.52,
64,0.6,0.58,
65,0.6,0.61,
66,0.6,0.6,
67,0.6,0.615,
68,0.6,0.63,
69,0.6,0.595,
70,0.6,0.56,
71,0.6,0.625,
72,0.6,0.57,
73,0.6,0.555,
74,0.6,0.57,
75,0.6,0.645,
76,0.6,0.575,
77,0.6,0.63,
78,0.6,0.57,
79,0.6,0.68,
80,0.6,0.65,
81,0.6,0.665,
82,0.6,0.63,
83,0.6,0.635,
84,0.6,0.52,
85,0.6,0.545,
86,0.6,0.565,
87,0.6,0.575,
88,0.6,0.615,
89,0.6,0.61,
90,0.6,0.675,
91,0.6,0.565,
92,0.6,0.55,
93,0.6,0.615,
94,0.6,0.605,
95,0.6,0.645,
96,0.6,0.65,
97,0.6,0.62,
98,0.6,0.625,
99,0.6,0.555,
100,0.6,0.59,
101,0.6,0.605,
102,0.6,0.635,
103,0.6,0.58,
104,0.6,0.645,
105,0.6,0.545,
106,0.6,0.57,
107,0.6,0.575,
108,0.6,0.665,
109,0.6,0.555,
110,0.6,0.615,
111,0.6,0.625,
112,0.6,0.58,
113,0.6,0.595,
114,0.6,0.615,
115,0.6,0.665,
116,0.6,0.585,
117,0.6,0.57,
118,0.6,0.6,
119,0.6,0.65,
120,0.6,0.6,
121,0.6,0.6,
122,0.6,0.605,
123,0.6,0.585,
124,0.6,0.65,
125,0.6,0.605,
126,0.6,0.575,
127,0.6,0.58,
128,0.6,0.575,
129,0.6,0.58,
130,0.6,0.615,
131,0.6,0.61,
132,0.6,0.56,
133,0.6,0.575,
134,0.6,0.61,
135,0.6,0.6,
136,0.6,0.575,
137,0.6,0.66,
138,0.6,0.625,
139,0.6,0.615,
140,0.6,0.605,
141,0.6,0.61,
142,0.6,0.635,
143,0.6,0.69,
144,0.6,0.66,
145,0.6,0.585,
146,0.6,0.62,
147,0.6,0.56,
148,0.6,0.6,
149,0.6,0.605,
150,0.6,0.58,
151,0.6,0.65,
152,0.6,0.53,
153,0.6,0.6,
154,0.6,0.67,
155,0.6,0.55,
156,0.6,0.63,
157,0.6,0.605,
158,0.6,0.56,
159,0.6,0.56,
160,0.6,0.59,
161,0.6,0.635,
162,0.6,0.65,
163,0.6,0.57,
164,0.6,0.605,
165,0.6,0.63,
166,0.6,0.59,
167,0.6,0.595,
168,0.6,0.6,
169,0.6,0.645,
170,0.6,0.57,
171,0.6,0.62,
172,0.6,0.625,
173,0.6,0.555,
174,0.6,0.57,
175,0.6,0.625,
176,0.6,0.56,
177,0.6,0.625,
178,0.6,0.65,
179,0.6,0.555,
180,0.6,0.665,
181,0.6,0.66,
182,0.6,0.63,
183,0.6,0.57,
184,0.6,0.54,
185,0.6,0.59,
186,0.6,0.585,
187,0.6,0.63,
188,0.6,0.64,
189,0.6,0.65,
190,0.6,0.55,
191,0.6,0.6,
192,0.6,0.59,
193,0.6,0.64,
194,0.6,0.615,
195,0.6,0.575,
196,0.6,0.625,
197,0.6,0.6,
198,0.6,0.585,
199,0.6,0.58,
200,0.6,0.61,
201,0.6,0.625,
1,0.7,0.745,
2,0.7,0.665,
3,0.7,0.695,
4,0.7,0.745,
5,0.7,0.7,
6,0.7,0.71,
7,0.7,0.64,
8,0.7,0.73,
9,0.7,0.655,
10,0.7,0.7,
11,0.7,0.72,
12,0.7,0.71,
13,0.7,0.66,
14,0.7,0.735,
15,0.7,0.695,
16,0.7,0.67,
17,0.7,0.725,
18,0.7,0.72,
19,0.7,0.69,
20,0.7,0.735,
21,0.7,0.65,
22,0.7,0.695,
23,0.7,0.665,
24,0.7,0.765,
25,0.7,0.755,
26,0.7,0.695,
27,0.7,0.74,
28,0.7,0.695,
29,0.7,0.705,
30,0.7,0.67,
31,0.7,0.74,
32,0.7,0.685,
33,0.7,0.725,
34,0.7,0.675,
35,0.7,0.71,
36,0.7,0.75,
37,0.7,0.71,
38,0.7,0.67,
39,0.7,0.725,
40,0.7,0.7,
41,0.7,0.705,
42,0.7,0.715,
43,0.7,0.755,
44,0.7,0.685,
45,0.7,0.75,
46,0.7,0.765,
47,0.7,0.68,
48,0.7,0.705,
49,0.7,0.68,
50,0.7,0.7,
51,0.7,0.715,
52,0.7,0.71,
53,0.7,0.65,
54,0.7,0.73,
55,0.7,0.755,
56,0.7,0.765,
57,0.7,0.715,
58,0.7,0.63,
59,0.7,0.755,
60,0.7,0.71,
61,0.7,0.68,
62,0.7,0.735,
63,0.7,0.755,
64,0.7,0.705,
65,0.7,0.73,
66,0.7,0.73,
