benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,1,0.200000,1,93,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,94,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,95,16,1600,FulcrumInner,encoder,673.684211,673.684211,Mbs,
binary,1,0.200000,1,96,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,97,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,98,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,99,16,1600,FulcrumInner,encoder,640.000000,640.000000,Mbs,
binary,1,0.200000,1,100,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,1,16,1600,FulcrumInner,decoder,1788.235294,1505.882353,Mbs,
binary,1,0.200000,1,2,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,3,16,1600,FulcrumInner,decoder,1694.117647,1505.882353,Mbs,
binary,1,0.200000,1,4,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,5,16,1600,FulcrumInner,decoder,1680.000000,1280.000000,Mbs,
binary,1,0.200000,1,6,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,7,16,1600,FulcrumInner,decoder,1840.000000,1280.000000,Mbs,
binary,1,0.200000,1,8,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,9,16,1600,FulcrumInner,decoder,1920.000000,1706.666667,Mbs,
binary,1,0.200000,1,10,16,1600,FulcrumInner,decoder,1840.000000,1280.000000,Mbs,
binary,1,0.200000,1,11,16,1600,FulcrumInner,decoder,1800.000000,1600.000000,Mbs,
binary,1,0.200000,1,12,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,13,16,1600,FulcrumInner,decoder,1942.857143,1828.571429,Mbs,
binary,1,0.200000,1,14,16,1600,FulcrumInner,decoder,1813.333333,1706.666667,Mbs,
binary,1,0.200000,1,15,16,1600,FulcrumInner,decoder,1600.000000,1505.882353,Mbs,
