benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,0.4,3,1208.76,509,3,1600,16,FulcrumInner,1586.49,decoder,MB/s
Binary,0.4,3,1212.02,509,4,1600,16,FulcrumInner,1515.02,decoder,MB/s
Binary,0.4,4,1046.68,480,0,1600,16,FulcrumInner,1439.18,decoder,MB/s
Binary,0.4,4,1101.37,480,1,1600,16,FulcrumInner,1445.55,decoder,MB/s
Binary,0.4,4,1227.94,480,2,1600,16,FulcrumInner,1534.93,decoder,MB/s
Binary,0.4,4,1202.47,480,3,1600,16,FulcrumInner,1653.39,decoder,MB/s
Binary,0.4,4,1145.84,480,4,1600,16,FulcrumInner,1503.92,decoder,MB/s
Binary,0.5,1,1498.55,637,0,1600,16,FulcrumInner,1685.87,decoder,MB/s
Binary,0.5,1,1617.62,637,1,1600,16,FulcrumInner,1718.72,decoder,MB/s
Binary,0.5,1,1514.25,649,2,1600,16,FulcrumInner,1703.54,decoder,MB/s
Binary,0.5,1,1582.17,649,3,1600,16,FulcrumInner,1779.94,decoder,MB/s
Binary,0.5,1,1548.51,656,4,1600,16,FulcrumInner,1645.29,decoder,MB/s
Binary,0.5,2,1360.42,576,0,1600,16,FulcrumInner,1785.55,decoder,MB/s
Binary,0.5,2,1399.81,576,1,1600,16,FulcrumInner,1662.27,decoder,MB/s
Binary,0.5,2,1373.47,576,2,1600,16,FulcrumInner,1631,decoder,MB/s
Binary,0.5,2,1316.69,576,3,1600,16,FulcrumInner,1645.86,decoder,MB/s
Binary,0.5,2,1336.74,576,4,1600,16,FulcrumInner,1670.93,decoder,MB/s
Binary,0.5,3,1136.36,500,0,1600,16,FulcrumInner,1562.5,decoder,MB/s
Binary,0.5,3,1169.1,506,1,1600,16,FulcrumInner,1753.65,decoder,MB/s
Binary,0.5,3,1240.29,506,2,1600,16,FulcrumInner,1627.88,decoder,MB/s
Binary,0.5,3,1275.71,506,3,1600,16,FulcrumInner,1594.64,decoder,MB/s
Binary,0.5,3,1350.16,561,4,1600,16,FulcrumInner,1603.31,decoder,MB/s
Binary,0.5,4,1130.99,485,0,1600,16,FulcrumInner,1484.42,decoder,MB/s
Binary,0.5,4,1128.21,485,1,1600,16,FulcrumInner,1551.29,decoder,MB/s
Binary,0.5,4,1178.92,491,2,1600,16,FulcrumInner,1473.64,decoder,MB/s
Binary,0.5,4,1148.2,507,3,1600,16,FulcrumInner,1507.01,decoder,MB/s
Binary,0.5,4,1105.84,507,4,1600,16,FulcrumInner,1589.64,decoder,MB/s
Binary,0.2,1,635.461,126,0,1600,32,FulcrumInner,635.461,encoder,MB/s
Binary,0.2,1,668.981,131,1,1600,32,FulcrumInner,668.981,encoder,MB/s
Binary,0.2,1,664.013,131,2,1600,32,FulcrumInner,664.013,encoder,MB/s
Binary,0.2,1,667.782,131,3,1600,32,FulcrumInner,667.782,encoder,MB/s
Binary,0.2,1,669.511,133,4,1600,32,FulcrumInner,669.511,encoder,MB/s
Binary,0.2,2,625.01,123,0,1600,32,FulcrumInner,625.01,encoder,MB/s
Binary,0.2,2,629.445,123,1,1600,32,FulcrumInner,629.445,encoder,MB/s
Binary,0.2,2,639.683,126,2,1600,32,FulcrumInner,639.683,encoder,MB/s
Binary,0.2,2,648.101,131,3,1600,32,FulcrumInner,648.101,encoder,MB/s
Binary,0.2,2,647.288,131,4,1600,32,FulcrumInner,647.288,encoder,MB/s
Binary,0.2,3,636.705,128,0,1600,32,FulcrumInner,636.705,encoder,MB/s
Binary,0.2,3,636.087,128,1,1600,32,FulcrumInner,636.087,encoder,MB/s
Binary,0.2,3,648.101,128,2,1600,32,FulcrumInner,648.101,encoder,MB/s
Binary,0.2,3,645.293,128,3,1600,32,FulcrumInner,645.293,encoder,MB/s
Binary,0.2,3,637.426,130,4,1600,32,FulcrumInner,637.426,encoder,MB/s
Binary,0.2,4,583.622,114,0,1600,32,FulcrumInner,583.622,encoder,MB/s
Binary,0.2,4,612.786,123,1,1600,32,FulcrumInner,612.786,encoder,MB/s
Binary,0.2,4,624.145,124,2,1600,32,FulcrumInner,624.145,encoder,MB/s
Binary,0.2,4,626.918,124,3,1600,32,FulcrumInner,626.918,encoder,MB/s
Binary,0.2,4,628.345,124,4,1600,32,FulcrumInner,628.345,encoder,MB/s
Binary,0.3,1,613.622,123,0,1600,32,FulcrumInner,613.622,encoder,MB/s
Binary,0.3,1,671.009,132,1,1600,32,FulcrumInner,671.009,encoder,MB/s
Binary,0.3,1,646.923,132,2,1600,32,FulcrumInner,646.923,encoder,MB/s
Binary,0.3,1,656.793,132,3,1600,32,FulcrumInner,656.793,encoder,MB/s
Binary,0.3,1,655.837,132,4,1600,32,FulcrumInner,655.837,encoder,MB/s
Binary,0.3,2,641.741,129,0,1600,32,FulcrumInner,641.741,encoder,MB/s
Binary,0.3,2,635.811,129,1,1600,32,FulcrumInner,635.811,encoder,MB/s
Binary,0.3,2,628.43,129,2,1600,32,FulcrumInner,628.43,encoder,MB/s
Binary,0.3,2,638.453,129,3,1600,32,FulcrumInner,638.453,encoder,MB/s
Binary,0.3,2,635.994,129,4,1600,32,FulcrumInner,635.994,encoder,MB/s
Binary,0.3,3,640.381,126,0,1600,32,FulcrumInner,640.381,encoder,MB/s
Binary,0.3,3,634.961,126,1,1600,32,FulcrumInner,634.961,encoder,MB/s
Binary,0.3,3,639.049,126,2,1600,32,FulcrumInner,639.049,encoder,MB/s
Binary,0.3,3,631.727,126,3,1600,32,FulcrumInner,631.727,encoder,MB/s
Binary,0.3,3,620.01,126,4,1600,32,FulcrumInner,620.01,encoder,MB/s
Binary,0.3,4,599.555,121,0,1600,32,FulcrumInner,599.555,encoder,MB/s
Binary,0.3,4,616.499,121,1,1600,32,FulcrumInner,616.499,encoder,MB/s
Binary,0.3,4,611.69,121,2,1600,32,FulcrumInner,611.69,encoder,MB/s
Binary,0.3,4,615.703,121,3,1600,32,FulcrumInner,615.703,encoder,MB/s
Binary,0.3,4,600.252,121,4,1600,32,FulcrumInner,600.252,encoder,MB/s
Binary,0.4,1,668.981,131,0,1600,32,FulcrumInner,668.981,encoder,MB/s
Binary,0.4,1,657.375,131,1,1600,32,FulcrumInner,657.375,encoder,MB/s
Binary,0.4,1,662.767,131,2,1600,32,FulcrumInner,662.767,encoder,MB/s
Binary,0.4,1,669.248,131,3,1600,32,FulcrumInner,669.248,encoder,MB/s
Binary,0.4,1,626.256,131,4,1600,32,FulcrumInner,626.256,encoder,MB/s
Binary,0.4,2,607.804,122,0,1600,32,FulcrumInner,607.804,encoder,MB/s
Binary,0.4,2,630.65,129,1,1600,32,FulcrumInner,630.65,encoder,MB/s
Binary,0.4,2,637.652,129,2,1600,32,FulcrumInner,637.652,encoder,MB/s
Binary,0.4,2,648.738,129,3,1600,32,FulcrumInner,648.738,encoder,MB/s
Binary,0.4,2,621.394,129,4,1600,32,FulcrumInner,621.394,encoder,MB/s
Binary,0.4,3,602.533,118,0,1600,32,FulcrumInner,602.533,encoder,MB/s
Binary,0.4,3,610.706,123,1,1600,32,FulcrumInner,610.706,encoder,MB/s
Binary,0.4,3,625.072,123,2,1600,32,FulcrumInner,625.072,encoder,MB/s
Binary,0.4,3,623.957,123,3,1600,32,FulcrumInner,623.957,encoder,MB/s
Binary,0.4,3,618.564,123,4,1600,32,FulcrumInner,618.564,encoder,MB/s
Binary,0.4,4,565.099,111,0,1600,32,FulcrumInner,565.099,encoder,MB/s
Binary,0.4,4,553.02,115,1,1600,32,FulcrumInner,553.02,encoder,MB/s
Binary,0.4,4,579.813,115,2,1600,32,FulcrumInner,579.813,encoder,MB/s
Binary,0.4,4,602.413,118,3,1600,32,FulcrumInner,602.413,encoder,MB/s
Binary,0.4,4,605.619,120,4,1600,32,FulcrumInner,605.619,encoder,MB/s
Binary,0.5,1,630.231,125,0,1600,32,FulcrumInner,630.231,encoder,MB/s
Binary,0.5,1,609.985,126,1,1600,32,FulcrumInner,609.985,encoder,MB/s
Binary,0.5,1,622.763,126,2,1600,32,FulcrumInner,622.763,encoder,MB/s
Binary,0.5,1,655.628,129,3,1600,32,FulcrumInner,655.628,encoder,MB/s
Binary,0.5,1,657.652,129,4,1600,32,FulcrumInner,657.652,encoder,MB/s
Binary,0.5,2,584.649,115,0,1600,32,FulcrumInner,584.649,encoder,MB/s
Binary,0.5,2,613.568,121,1,1600,32,FulcrumInner,613.568,encoder,MB/s
Binary,0.5,2,606.647,123,2,1600,32,FulcrumInner,606.647,encoder,MB/s
Binary,0.5,2,617.593,123,3,1600,32,FulcrumInner,617.593,encoder,MB/s
Binary,0.5,2,616.686,123,4,1600,32,FulcrumInner,616.686,encoder,MB/s
Binary,0.5,3,562.637,111,0,1600,32,FulcrumInner,562.637,encoder,MB/s
Binary,0.5,3,562.141,112,1,1600,32,FulcrumInner,562.141,encoder,MB/s
Binary,0.5,3,578.727,117,2,1600,32,FulcrumInner,578.727,encoder,MB/s
Binary,0.5,3,584.714,117,3,1600,32,FulcrumInner,584.714,encoder,MB/s
Binary,0.5,3,600.079,118,4,1600,32,FulcrumInner,600.079,encoder,MB/s
Binary,0.5,4,551.071,111,0,1600,32,FulcrumInner,551.071,encoder,MB/s
Binary,0.5,4,564.706,111,1,1600,32,FulcrumInner,564.706,encoder,MB/s
Binary,0.5,4,585.987,115,2,1600,32,FulcrumInner,585.987,encoder,MB/s
Binary,0.5,4,588.094,115,3,1600,32,FulcrumInner,588.094,encoder,MB/s
